P_pv	P_sc	P_resultante
4.57005	-4.999999999988347e-05	4.67005
4.56057	-4.999999999988347e-05	4.66057
4.5511	-4.999999999988347e-05	4.5511
4.54163	-4.999999999988347e-05	4.54163
4.53215	-4.999999999988347e-05	4.53215
4.52268	-4.999999999988347e-05	4.52268
4.51321	-4.999999999988347e-05	4.51321
4.50373	-4.999999999988347e-05	4.50373
4.5	-4.999999999988347e-05	4.5
4.5	-4.999999999988347e-05	4.5
4.5	-4.999999999988347e-05	4.5
4.5	-4.999999999988347e-05	4.5
4.5	-4.999999999988347e-05	4.5
4.5	-4.999999999988347e-05	4.5
4.5	-4.999999999988347e-05	4.5
4.5	-4.999999999988347e-05	4.5
4.5029	-4.999999999988347e-05	4.5029
4.51022	-4.999999999988347e-05	4.51022
4.51753	-4.999999999988347e-05	4.51753
4.52485	-4.999999999988347e-05	4.52485
4.53217	-4.999999999988347e-05	4.6321699999999995
4.53948	-4.999999999988347e-05	4.63948
4.5468	-4.999999999988347e-05	4.6468
4.55412	-4.999999999988347e-05	4.65412
4.56143	-4.999999999988347e-05	4.661429999999999
4.56875	-4.999999999988347e-05	4.668749999999999
4.57607	-4.999999999988347e-05	4.676069999999999
4.58339	-4.999999999988347e-05	4.683389999999999
4.59	-4.999999999988347e-05	4.6899999999999995
4.58142	-4.999999999988347e-05	4.681419999999999
4.56909	-4.999999999988347e-05	4.56909
4.55676	-4.999999999988347e-05	4.55676
4.54443	-4.999999999988347e-05	4.54443
4.5321	-4.999999999988347e-05	4.5321
4.51977	-4.999999999988347e-05	4.51977
4.50745	-4.999999999988347e-05	4.50745
4.5	-4.999999999988347e-05	4.5
4.5	-4.999999999988347e-05	4.5
4.5	-4.999999999988347e-05	4.5
4.5	-4.999999999988347e-05	4.6
4.5	-4.999999999988347e-05	4.6
4.5	-4.999999999988347e-05	4.6
4.5	-4.999999999988347e-05	4.6
4.5	-4.999999999988347e-05	4.6
4.5	-4.999999999988347e-05	4.6
4.5	-4.999999999988347e-05	4.6
4.5	-4.999999999988347e-05	4.6
4.5	-4.999999999988347e-05	4.6
4.5	-4.999999999988347e-05	4.5
4.5	-4.999999999988347e-05	4.5
4.5	-4.999999999988347e-05	4.5
4.5	-4.999999999988347e-05	4.5
4.5	-4.999999999988347e-05	4.5
4.5	-4.999999999988347e-05	4.5
4.5	-4.999999999988347e-05	4.5
4.5	-4.999999999988347e-05	4.5
4.5	-4.999999999988347e-05	4.5
4.5	-4.999999999988347e-05	4.5
4.5	-4.999999999988347e-05	4.7
4.5	-4.999999999988347e-05	4.7
4.5	-4.999999999988347e-05	4.7
4.5	-4.999999999988347e-05	4.7
4.5	-4.999999999988347e-05	4.7
4.5	-4.999999999988347e-05	4.7
4.5	-4.999999999988347e-05	4.7
4.5	-4.999999999988347e-05	4.7
4.5	-4.999999999988347e-05	4.7
4.5	-4.999999999988347e-05	4.6
4.5	-4.999999999988347e-05	4.6
4.5	-4.999999999988347e-05	4.6
4.5	-4.999999999988347e-05	4.6
4.5	-4.999999999988347e-05	4.6
4.5	-4.999999999988347e-05	4.6
4.5	-4.999999999988347e-05	4.6
4.5	-4.999999999988347e-05	4.6
4.5	-4.999999999988347e-05	4.6
4.5	-4.999999999988347e-05	4.5
4.5	-4.999999999988347e-05	4.5
4.5	-4.999999999988347e-05	4.5
4.5	-4.999999999988347e-05	4.5
4.5	-4.999999999988347e-05	4.5
4.5	-4.999999999988347e-05	4.5
4.5	-4.999999999988347e-05	4.5
4.5	-4.999999999988347e-05	4.5
4.5	-4.999999999988347e-05	4.5
4.5	-4.999999999988347e-05	4.5
4.5	-4.999999999988347e-05	4.5
4.5	-4.999999999988347e-05	4.5
4.5	-4.999999999988347e-05	4.5
4.5	-4.999999999988347e-05	4.5
4.5	-4.999999999988347e-05	4.5
4.5	-4.999999999988347e-05	4.5
4.5	-4.999999999988347e-05	4.5
4.5	-4.999999999988347e-05	4.5
4.5	-4.999999999988347e-05	4.5
4.5	-4.999999999988347e-05	4.6
4.5	-4.999999999988347e-05	4.6
4.5	-4.999999999988347e-05	4.6
4.5	-4.999999999988347e-05	4.6
4.5	-4.999999999988347e-05	4.6
4.5	-4.999999999988347e-05	4.6
4.5	-4.999999999988347e-05	4.6
4.5	-4.999999999988347e-05	4.6
4.5	-4.999999999988347e-05	4.6
4.5	-4.999999999988347e-05	4.6
4.5	-4.999999999988347e-05	4.6
4.5	-4.999999999988347e-05	4.6
4.5	-4.999999999988347e-05	4.6
4.5	-4.999999999988347e-05	4.6
4.5	-4.999999999988347e-05	4.6
4.5	-4.999999999988347e-05	4.6
4.50943	-4.999999999988347e-05	4.60943
4.52127	-4.999999999988347e-05	4.62127
4.53311	-4.999999999988347e-05	4.633109999999999
4.54495	-4.999999999988347e-05	4.54495
4.5568	-4.999999999988347e-05	4.5568
4.56864	-4.999999999988347e-05	4.56864
4.58048	-4.999999999988347e-05	4.58048
4.59	-4.999999999988347e-05	4.59
4.59	-4.999999999988347e-05	4.59
4.59	-4.999999999988347e-05	4.59
4.59	-4.999999999988347e-05	4.59
4.59	-4.999999999988347e-05	4.59
4.59	-4.999999999988347e-05	4.59
4.59	-4.999999999988347e-05	4.59
4.59	-4.999999999988347e-05	4.59
4.59	-4.999999999988347e-05	4.59
4.59	-4.999999999988347e-05	4.59
4.59	-4.999999999988347e-05	4.59
4.59	-4.999999999988347e-05	4.59
4.59	-4.999999999988347e-05	4.59
4.59	-4.999999999988347e-05	4.59
4.59	-4.999999999988347e-05	4.6899999999999995
4.59	-4.999999999988347e-05	4.6899999999999995
4.59	-4.999999999988347e-05	4.6899999999999995
4.59	-4.999999999988347e-05	4.6899999999999995
4.59	-4.999999999988347e-05	4.6899999999999995
4.59	-4.999999999988347e-05	4.6899999999999995
4.59	-4.999999999988347e-05	4.6899999999999995
4.59	-4.999999999988347e-05	4.6899999999999995
4.5794	-4.999999999988347e-05	4.679399999999999
4.56417	-4.999999999988347e-05	4.6641699999999995
4.54894	-4.999999999988347e-05	4.54894
4.53371	-4.999999999988347e-05	4.53371
4.51849	-4.999999999988347e-05	4.51849
4.50326	-4.999999999988347e-05	4.50326
4.5	-4.999999999988347e-05	4.5
4.50726	-4.999999999988347e-05	4.50726
4.51785	-4.999999999988347e-05	4.51785
4.52844	-4.999999999988347e-05	4.52844
4.53903	-4.999999999988347e-05	4.53903
4.54962	-4.999999999988347e-05	4.64962
